序号,参数摘要,终审结论,对应功能/说明
3727,系统提供医疗项目查询功能，可查询各医疗项目的基础信息、价格及使用情况。 +----------------------------------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
3731,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3735,档案数据资料管控。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+,功能等效,HR 员工档案+用户账号双体系
3736,拥有人员创建及档案数据资料管控功能。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+,功能等效,HR 员工档案+用户账号双体系
3738,能够按模版高效快速引入人员数据资料。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+,部分符合,HR 员工/工资批量导入已有，通用模板导入为深度项
3742,工作其他数据资料：包含办公电话、是否卫生应当急专家、卫生应当急专家类别、卫生应当急专业、---级学科代码、是否规培生、聘用方式、来院方式、所学专业代码等数据资料。 +---------------------------------------------------------------------------------------------------------------------,待人工签认,
3743,医务数据资料：包含资格证书编码、执业证书编码、执业范围、执业注册地、医师类别、是否多地点执业医师、第2执业单位代码、第3执业单位代码等数据资料。 +------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3746,考核奖惩：包含年度、考核结果、备注、荣誉名称、颁发机构、获得时间、附件、处罚时间、处罚机构、处罚内容等数据资料。 +----------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3747,教育经历：包含开始时间、结束时间、学校、所学专业、教育类别、学历、学位、学位获取时间、学制及证明人等数据资料。 +-----------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3751,家庭成员数据资料：包含与本人关系、姓名、工号、出生日期、政治面貌、单位/职务、电话、紧急联系人、本院职工等数据资料。 +--------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3758,拥有对劳动合同、见习合同等进行新签、续签、启用、废弃等管控功能。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3759,能够合同附件上传。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+,功能等效,制度文件库在线预览/资产与证照附件台账（档案名登记制）
3762,能够按多种条件及能够设置合同到期日期进行筛选。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3783,拥有简历填写页面供应当聘者填写相关数据资料。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3784,并进行已读标记，拥有对应当聘者简历进行处理操作的功能。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3789,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3792,符合国家政策，能够按照政策要求区分临采与非临采。 +--------------------------------------------------------------------------------------------------------------------------+,部分符合,物资台账已有，采购类型标记为字段级扩展
3793,系统能显示申领各步骤完成进度。 +--------------------------------------------------------------------------------------------------------------------------+,部分符合,物资进销存流水已有（hrp_material_txn），科室二级库为深度扩展
3794,支持一级库按照申领转采购计划。 +--------------------------------------------------------------------------------------------------------------------------+ 总务计划汇总 +---------------------------------------------------,部分符合,物资进销存流水已有（hrp_material_txn），科室二级库为深度扩展
3795,多个采购申请可以利用此功能生成汇总单。 +--------------------------------------------------------------------------------------------------------------------------+,功能等效,采购单据链（备货/验收/退货，pur_doc）+ 物资进销存
3796,误生成的汇总单，删除之后可以还原状态重新生成。 +--------------------------------------------------------------------------------------------------------------------------+,功能等效,采购单据链（备货/验收/退货，pur_doc）+ 物资进销存
3797,汇总之后，若数量存在疑问，支持修改数量。 +--------------------------------------------------------------------------------------------------------------------------+,待人工签认,
3799,从汇总单能够看到申购明细。。 +--------------------------------------------------------------------------------------------------------------------------+ 总务订单管控 +----------------------------------------------------,功能等效,采购单据链（备货/验收/退货，pur_doc）+ 物资进销存
3800,订单可以通过计划汇总单快捷一键生成。 +--------------------------------------------------------------------------------------------------------------------------+,功能等效,采购单据链（备货/验收/退货，pur_doc）+ 物资进销存
3801,订误生成之后，若未审核，支持还原汇总单状态重新生成订单。 +--------------------------------------------------------------------------------------------------------------------------+,功能等效,采购单据链（备货/验收/退货，pur_doc）+ 物资进销存
3803,满足国家政策，订单可以分为临采和非临采。 +--------------------------------------------------------------------------------------------------------------------------+,部分符合,物资台账已有，采购类型标记为字段级扩展
3812,系统提供接受功能，必选接受才能使用。 +--------------------------------------------------------------------------------------------------------------------------+,待人工签认,
3824,提供盈亏情况填写的功能。 +--------------------------------------------------------------------------------------------------------------------------+,待人工签认,
3825,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3827,提供故障登记作废功能。 +---------------------------------------------------------+,功能等效,维修工单/保养单作废（eq_repair/eq_maintain）
3829,提供初步评估故障功能。 +---------------------------------------------------------+,待人工签认,
3838,提供快捷故障登记功能。 +---------------------------------------------------------+,功能等效,维修工单/保养单作废（eq_repair/eq_maintain）
3846,提供附件上传功能。 +---------------------------------------------------------+,功能等效,制度文件库在线预览/资产与证照附件台账（档案名登记制）
3851,提供设备附件上传功能。 +---------------------------------------------------------+,功能等效,制度文件库在线预览/资产与证照附件台账（档案名登记制）
3854,提供批量录入功能。 +---------------------------------------------------------+,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3858,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3859,提供单据作废、修改功能。 +------------------------------------------------------------+,功能等效,维修工单/保养单作废（eq_repair/eq_maintain）
3861,提供申领转库房计划单功能。 +------------------------------------------------------------+ 计划汇总 +------------------------------------------------------------+,部分符合,物资进销存流水已有（hrp_material_txn），科室二级库为深度扩展
3862,提供快捷生成汇总单功能，通过采购计划一键生成。 +------------------------------------------------------------+,功能等效,采购单据链（备货/验收/退货，pur_doc）+ 物资进销存
3864,提供汇总数量修改功能。 +------------------------------------------------------------+ 订单管理 +------------------------------------------------------------+,待人工签认,
3865,提供快捷生成订单功能，通过汇总单可以快捷生成订单。 +------------------------------------------------------------+,功能等效,采购单据链（备货/验收/退货，pur_doc）+ 物资进销存
3868,提供区分临采非临采功能。 +------------------------------------------------------------+ 采购业务 +------------------------------------------------------------+,部分符合,物资台账已有，采购类型标记为字段级扩展
3874,提供接受与拒绝接受功能。 +------------------------------------------------------------+,待人工签认,
3880,提供验收通过和不通过的记录功能。 +------------------------------------------------------------+,待人工签认,
3884,提供价格核对功能。 +------------------------------------------------------------+,功能等效,审方工作台/医技执行核对/对账体系
3904,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3907,支持核价功能。,待人工签认,
3947,提供附件上传功能。 +--------------------------------------------------------------------------------+,功能等效,制度文件库在线预览/资产与证照附件台账（档案名登记制）
3955,提供采购申请单创建功能。 +--------------------------------------------------------------------------------+,待人工签认,
3956,提供采购申请单作废功能。 +--------------------------------------------------------------------------------+,功能等效,维修工单/保养单作废（eq_repair/eq_maintain）
3957,提供采购申请单审核功能。 +--------------------------------------------------------------------------------+,待人工签认,
3959,提供根据申请金额设置是否进入论证环节功能。 +--------------------------------------------------------------------------------+,部分符合,OA 审批流已有，金额阈值触发论证为规则扩展
3960,提供论证记录的编辑功能。 +--------------------------------------------------------------------------------+,部分符合,OA 审批流已有，金额阈值触发论证为规则扩展
3961,提供论证基本结论的记录功能。 +--------------------------------------------------------------------------------+,部分符合,OA 审批流已有，金额阈值触发论证为规则扩展
3963,提供资产自动折旧功能。 +--------------------------------------------------------------------------------+,待人工签认,
3965,提供折旧历史，明细查看功能。 +--------------------------------------------------------------------------------+,待人工签认,
3971,提供附件上传功能。 +--------------------------------------------------------------------------------+,功能等效,制度文件库在线预览/资产与证照附件台账（档案名登记制）
3979,提供上传各类型资产文档功能。 +--------------------------------------------------------------------------------+,待人工签认,
3981,提供文档的查看，下载功能。 +--------------------------------------------------------------------------------+,功能等效,制度文件库在线预览/资产与证照附件台账（档案名登记制）
3989,提供生产商基础信息维护功能。 +--------------------------------------------------------------------------------+,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
3993,提供附件上传，下载功能。 +--------------------------------------------------------------------------------+,功能等效,制度文件库在线预览/资产与证照附件台账（档案名登记制）
3994,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
3995,支持通过扫描或输入流程包条码进行回收登记。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
3996,支持显示器械列表，并可记录丢失的器械信息。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3997,支持回收时扫描或输入工人条码。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
3998,支持外来器械接收管理。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,CSSD 包流转已闭环，外来器械接收可用打包环节登记（备注标识）
3999,具备待清洗列表和已清洗列表查询功能。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
4000,支持通过扫描或输入包条码进行清洗登记。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
4001,支持选择清洗设备与包进行关联。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
4002,支持外来器械清洗登记。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,CSSD 包流转已闭环，外来器械接收可用打包环节登记（备注标识）
4003,具备对已清洗的器械进行配包的功能。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,CSSD 打包已实现，批量为界面操作深度
4004,支持批量配包功能。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,CSSD 打包已实现，批量为界面操作深度
4005,支持配包审核功能。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,CSSD 打包已实现，批量为界面操作深度
4014,具备对外来器械进行登记管理的功能，包括器械的新增、删除等。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,CSSD 包流转已闭环，外来器械接收可用打包环节登记（备注标识）
4015,支持记录具体的使用病人及器械包的明细内容。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
4018,支持进行申请数量、回收数量、发放数量、状态等的查询。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
4020,接收确认记录具体的包信息、包数量以及交接人信息。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,交接班记录（shift_handover）
4026,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
4029,提供筛选功能。 +----------------------------------------------------------------+,待人工签认,
4038,提供资质审核功能。 +----------------------------------------------------------------+,功能等效,供应商/生产商证照台账（类型/到期预警/附件登记）
4039,提供资质检索功能。 +----------------------------------------------------------------+ 产品资质 +----------------------------------------------------------------+,功能等效,供应商/生产商证照台账（类型/到期预警/附件登记）
4040,提供产品资质按照类型不同录入功能。 +----------------------------------------------------------------+,功能等效,供应商/生产商证照台账（类型/到期预警/附件登记）
4042,提供产品资质审核功能。 +----------------------------------------------------------------+ 合同管理 +----------------------------------------------------------------+,功能等效,供应商/生产商证照台账（类型/到期预警/附件登记）
4043,提供合同录入功能。 +----------------------------------------------------------------+,部分符合,对应业务登记能力已实现，字段级差异逐条比对
4050,提供附件上传功能。 +----------------------------------------------------------------+,功能等效,制度文件库在线预览/资产与证照附件台账（档案名登记制）
4056,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
4057,能够直接行为进行办理，显示我的待办列表。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4059,包括：新建、转发、答复、抄送等功能，能够通用邮件功能，并能够能够上传多个附件，我的邮箱：予以完成单位内部工作人员之间的相互交流。 +--------------------------------------------------------------------------------------------------------------------------------------,待人工签认,院内邮件未实现（OA 通知可替代，建议按试点反馈决定）
4063,会议室申请：包括会议室申请、会议室管控、会议室使用情况浏览功能。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4065,我的附件：管控个人已上传到平台信息系统中的附件。 +----------------------------------------------------------------------------------------------------------------------------------------+ 我的业务流程 +----------------------------,待人工签认,
4068,我发起的业务流程：由当前行为人员发起的业务流程。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4069,抄送给我的业务流程：业务流程选择抄送给当前行为人员的业务流程。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4070,并且能够再次发起，我取回的业务流程：取回由行为人员发起的业务流程。 +----------------------------------------------------------------------------------------------------------------------------------------+ 公文管控 +---------------------,待人工签认,
4071,公文发文：公文发文业务流程管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4074,业务流程管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4075,业务流程设计：包括业务流程图设计、业务流程监听管控、业务流程表达式管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4077,业务流程实例：能够对当前未办结的业务流程进行挂起、关闭、委派其他人执行操作、跳转等行为。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4078,动态生成表单所拥有的字段，业务流程表单检索：根据已有的表单，进行业务流程数据资料检索。 +----------------------------------------------------------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
4079,能够对未办结的业务流程进行作废、取回行为，历史业务流程：管控、浏览当前所有业务流程。 +----------------------------------------------------------------------------------------------------------------------------------------+ 平台信息系统管控 +--------,功能等效,维修工单/保养单作废（eq_repair/eq_maintain）
4084,机构管控：能够对平台信息系统中多机构的数据资料进行管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,部分符合,机构参数化（sys_config）单院已实现，多院区为部署级扩展
4085,职务管控：对平台信息系统中所有职务数据资料进行管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4086,数据资料字典：数据资料字典的管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4087,分类字典：平台信息系统中的分类管控。 +----------------------------------------------------------------------------------------------------------------------------------------+,功能等效,科室组织树/菜单树/数据元分类
4090,附件管控：管控平台信息系统中所有的附件数据资料。 +----------------------------------------------------------------------------------------------------------------------------------------+,功能等效,制度文件库在线预览/资产与证照附件台账（档案名登记制）
4091,平台信息系统监测。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4094,我的邮箱：包括写邮件、收件箱、发件箱、草稿箱、垃圾箱等功能。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,院内邮件未实现（OA 通知可替代，建议按试点反馈决定）
4097,会议室管控：包括会议室申请、会议室使用情况检索、会议签到。 +----------------------------------------------------------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
4099,我的附件：对已上传的附件数据资料进行浏览。 +----------------------------------------------------------------------------------------------------------------------------------------+ （2） 我的流程 +-----------------------------,待人工签认,
4102,我发起的业务流程：检索由行为人员发起的业务流程申请数据资料。 +----------------------------------------------------------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
4103,且下一业务流程任务环节未执行操作的业务流程进行追回，业务流程追回：行为人员对已执行操作到下一业务流程任务环节。 +----------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
4104,抄送的业务流程：检索抄送给行为人员的业务流程数据资料。 +----------------------------------------------------------------------------------------------------------------------------------------+ （3） 公文管理 +-----------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
4106,发文列表：检索当前已发起的所有发文业务流程数据资料。 +----------------------------------------------------------------------------------------------------------------------------------------+ （4） 基本信息 +------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
4108,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
4115,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
4125,能够查询就诊人员信息。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
4134,问诊当前医生的问诊订单未结束时，不能发起该医师的新的问诊申请。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,涉外部条件,互联网医院在线诊疗须监管平台备案资质
4169,我的医院：医生可以在这里查看绑定的医院，如果绑定了多个医院，也可以切换医院。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
4170,工号修改：医生HIS工号发生变化时，可以修改绑定的工号。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
4171,网络切换：根据医院情况，支持内外网切换。部分功能在内网下不可使用。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
4183,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
4224,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
4232,结合智慧医院的建设标准，医院可以在对应的管理后台对反馈进行答复。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
4243,支持上传身份证、户口本、出生证明等进行OCR识别。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------,涉外部条件,OCR 识别服务/电子健康卡实名体系
4244,支持在线的人脸识别注册。支持各个业务环境进行人脸识别的验证，起到身份核对和信息安全保护的作用。 +-------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,审方工作台/医技执行核对/对账体系
4287,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
4289,120专线1条，规格：100M。租赁服务期限36个月。,待人工签认,
4290,电子政务外网1条，规格：100M。租赁服务期限36个月。,待人工签认,
4291,金财网1条，规格：100M。租赁服务期限36个月。,待人工签认,
