序号,桶,桶名,现结论,主题,建议处置,命中规则,在正式名单内,参数摘要
1118,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持对代煎药进行业务类型的转换，可以将代煎处方转为非代煎（患者自煎），反之亦然。同时，也支持对代煎费用进行追加收费或退费处理。 +---------------
1119,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在发药核对环节，系统支持多种便捷的定位方式：通过扫描患者条形码快速定位待发药处方；支持患者使用就诊卡刷卡定位；也支持输入发票号码，将一整张发票下的所有处方一次性
1120,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在发药票据打印方面，系统支持各个打印页面的个性化配置。提供发药前打印、发药后打印、不打印三种处方打印模式，并支持口服药卡、输液单、处方笺的自动打印。 +----
1121,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持通过扫描药品码或药品追溯码进行发药。在发药环节扫描追溯码，可以实现对药品流通全过程的监管，并为后续的责任追溯提供依据。 +-----------------
1123,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持在发药前校验患者当前是否还有尚未缴费的处方。如果存在未缴费处方，系统会给出相应的提醒，避免漏收费。 +---------------------------
1124,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统支持多院区、多机构的管理模式，并提供跨院区、跨药房的配药功能。 +---------------------------------------------
1125,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在门诊配药模式上，系统支持两种方式：一种是不纳入系统严格流程管理的简易配药模式，另一种是纳入系统全流程管理的规范化配药模式。 +----------------
1126,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在配药流程中，系统支持配药核对功能。即配药人员完成药品配置后，需要经过核对环节确认无误，才算配药工作真正完成。 +-----------------------
1127,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在配药队列管理方面，系统支持多人同时进行配药操作。处方缴费后，系统会根据智能化的分配策略（如平均分配、剩余工作量最小等规则）自动将处方分配给不同的配药员。同时，
1128,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持取消配药操作。对于尚未开始配药的处方，可以将其从当前配药员的任务列表中移除，并重新分配给其他正在工作的配药员。 +---------------------
1129,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在配药核对环节，系统支持患者通过刷卡定位其待配药处方，也支持通过扫描患者条形码进行快速定位。 +--------------------------------
1132,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在退药核对环节，支持通过扫描患者的条形码，快速查找出该患者的所有待退药数据，并进行退药处理。 +--------------------------------
1133,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持持有就诊卡的患者通过刷卡快速定位其退药信息，进行操作。 +-------------------------------------------------
1134,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统支持进行取消退药的处理，以撤销误操作的退药。 +------------------------------------------------------
1135,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,对于已经进行过多次退药操作的复杂情况，系统也支持对这些退药记录进行取消操作。 +----------------------------------------
1136,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统支持取消发药操作。被取消发药的处方将重新回到发药队列，等待后续再次发药。 +----------------------------------------
1137,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持通过扫描患者的条形码，快速查找出该患者的待取消发药数据，并进行取消发药处理。 +--------------------------------------
1138,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持在退药环节扫描药品追溯码，通过追溯码信息对药品的流通环节进行全程监管，并为后续的责任追溯提供依据。 +---------------------------
1139,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在取消发药和门诊退药环节，系统支持进行追溯码扫描操作，并对所退药品是否与原始发放药品一致进行校验，提高操作的准确性。 +--------------------
1142,D2,D2 真欠账——需排期评估,部分响应,医保 DRG 结算,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持在药房端对尚未完成缴费的患者进行费用结算处理。 +-----------------------------------------------------
1143,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,对于中草药处方，支持在药房对代煎费进行补充收费或退费操作。 +-------------------------------------------------
1144,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在药品申领的主流程中，系统涵盖了库存调拨、科室领用、主动出库三种核心业务。并提供了一个集中处理界面，可以统一处理本库房的主动申领入库、申领退药入库和被动接收的出
1145,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在药品的出入库申领操作中，系统支持通过直接引入当前库房的药品信息，来自动生成库房的申领信息。 +--------------------------------
1146,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统支持将多种因素组合成智能计算公式，并依据公式自动计算生成申领信息。这些因素可以包括：当前库房在某一时段的药品消耗量、设定的最高/最低库存标准、以及实时库存量
1147,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,入库单：通过新增、编辑、查看、审核入库请领单向药库申请药品。 +------------------------------------------------
1148,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在药品入库管理中，系统除了处理常规的药品领用入库外，还支持其他各类入库业务，如药品加工后入库、医院自制药品入库以及盘点盈溢入库等。 +-------------
1150,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,"在进行其他类型入库操作时，系统同样支持同时采用多种包装单位（例如""盒""和""瓶""）进行数量的录入与换算。 +---------------------------"
1151,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,除了常规的科室申领出库，系统还支持其他类型的出库业务，例如药品报损、科室直接领用、以及盘点后产生的盘亏出库等。 +-----------------------
1152,D2,D2 真欠账——需排期评估,部分响应,权限审计与系统运维,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统在自动扣减库存时，内置了多种出库策略，例如优先出库最早入库的药品（先进先出），或优先出库距离失效期最近的药品（近效期先出）。同时，也支持用户在出库时手动选择
1155,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,为了提高盘点效率，系统支持通过引入预设的盘点模板（包含特定药品列表）来快速生成盘点任务。 +----------------------------------
1156,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统支持单人或多人协同进行盘点数据的录入工作，以适应不同规模的盘点任务。 +------------------------------------------
1157,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在录入盘点数据时，系统支持使用多种包装单位（如盒、瓶、支）进行数量的录入，并自动换算成标准单位。 +------------------------------
1158,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,为了方便操作，系统支持在录入实盘数量时，直接复制当前的账面库存作为起点。盘点任务完成后，系统能够根据实盘与账面的差异，自动生成盘盈入库单和盘亏出库单。 +---
1159,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在盘点录入过程中，允许操作人员对具体批次药品的账面数量进行调整。 +----------------------------------------------
1161,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统支持在盘点过程中，如果发生了发药或退药业务，这些动态数量能够在最终的盘点汇总单上得到体现，确保盘点数据的实时准确。 +-------------------
1162,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,在库存禁用管理中，系统提供了多种禁用模式，包括按批次禁用和按药品禁用等。支持填写药品禁用的原因，并提供取消禁用的功能，以完善库存管理的流程控制。 +------
1163,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统提供药品禁用历史记录的查询功能，便于追溯。 +-------------------------------------------------------
1165,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统提供针对内部员工的药品借用和归还管理功能。 +-------------------------------------------------------
1166,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持在员工进行药品借还操作时，通过输入个人密码的方式进行身份验证，确保操作安全。 +--------------------------------------
1167,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统提供针对特殊药品的独立日结与月结统计功能，例如可以为贵重药品、精神麻醉药品等生成每日的日结日报。 +----------------------------
1292,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持职能部门通过手机移动端实时查询全院危急值的上报、接收、处理及反馈情况，并可根据查询结果自动生成多维度数据统计与分析报告，满足质控监管与持续改进需求。 +--
1341,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持恢复误删的病历。 +--------------------------------------------------------------------
1396,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,新增医嘱套包功能，可将多个关联医嘱整合至一个套包，实现批量快速计费，减少重复操作，提升计费便捷性。 +-----------------------------
1397,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统对接手术排程系统，可自动获取已完成排程的患者信息，以手术间为核心维度进行患者信息展示，为手术室护士提供便捷的操作与记录入口，提升工作便捷性。 +------
1398,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持与HIS系统、手麻系统等院内核心业务系统对接，实现患者基础信息、手术相关信息、手术排程信息的自动同步获取，无需人工重复录入，保障数据一致性。 +------
1399,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,可对接医院中央运输系统，护士通过护理工作站即可完成转运派单、实时查看转运流程进度等操作；支持根据医院实际运营需求，灵活设置强、弱两种管控模式，例如在强管控模式下
1400,D2,D2 真欠账——需排期评估,部分响应,医技检验影像,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持调用手持移动设备的扫描功能，通过扫描患者腕带的方式，以机读核对模式完成患者身份与手术信息的双重校验，确保患者入室信息核对准确，规避人为核对误差。 +----
1401,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统可根据手术实时状态对器械清点节点进行严格管控，仅当手术推进至对应阶段，方可开展后续清点操作，保障清点流程的规范性；搭配移动平板使用，可实现无菌台旁现场器械清
1402,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,否,支持依据医院现有器械包规格及包内器械配置，灵活创建电子器械包，简化护士添加器械包及包内器械的操作流程，大幅提升器械录入效率。 +----------------
1403,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,新增电子器械包时，系统强制要求对包内器械种类及数量进行双重核对，同步详细记录打包过程中出现的错误信息；针对不同器械包中名称相同的器械，将进行差异化显示，避免混淆
1404,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,采用清单化方式呈现各阶段器械添加数量，清晰展示器械原始数量、新增数量及当前库存数量，便于护士快速核对、精准掌握各阶段器械动态。 +---------------
1405,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,当患者需进行多个主手术时，系统支持关联各主手术分别建立对应的器械清点单，实现不同手术器械清点的独立管理，确保清点数据精准可追溯。 +--------------
1407,D2,D2 真欠账——需排期评估,部分响应,医技检验影像,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持通过手持移动设备扫描器械包条码，实现器械包信息的快速加载，有效减少人工录入操作，显著提升器械清点的效率与准确性。 +--------------------
1408,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统可依据手术的实时进展状态，对安全核查流程节点进行精准管控，只有当手术推进至对应阶段，才可启动下一步安全核查操作，确保核查流程与手术进程同步，保障核查规范性。
1409,D2,D2 真欠账——需排期评估,部分响应,权限审计与系统运维,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持与手麻系统无缝联动，按照预设角色分工及核查内容，在两个系统内协同开展安全核查工作，核查结果实现自动汇总归档；搭配移动平板使用，可完成床旁现场安全核查，提升核
1410,D2,D2 真欠账——需排期评估,部分响应,医技检验影像,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,具备安全核查项目自动跳转功能，核查条目可逐页自动滚动展示，同时自动抓取各检查项目的对应结果，无需护士切换系统查询待核查内容，简化操作流程，降低人为遗漏风险。 +
1412,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,转科交接单采用行业标准格式设计，同时支持结合医院实际转科管理需求，定制化调整交接单内容与格式，适配不同科室转科交接场景。 +------------------
1413,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持全面记录手术患者各类管路信息，可自动汇总麻醉医生创建、护士记录的管路数据（含静脉通道、尿管、胃管等），同步详细留存管路创建时间、放置位置、插入深度、创建人员
1415,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持根据医院手术护理的个性化需求，定制各类专属手术护理文书，灵活适配不同手术类型、护理场景的文书管理要求，满足院内护理文书规范化管理需求。 +---------
1416,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,提供文书对外服务功能，可通过指定地址、专用查阅工具等方式，向院内其他信息系统开放文书调阅权限，实现文书数据共享，提升多系统协同效率。 +------------
1418,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,配备患者家属手术进程看板，专门用于向家属展示患者手术相关状态，兼顾信息公开与隐私保护，提升家属就医体验。 +--------------------------
1420,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,系统支持自定义设置大屏刷新时间，可针对手术入室、手术开始、手术结束等不同手术事件，自动触发公告内容显示，便于医护人员通过大屏实时掌握当日手术整体开展情况，提升工
1421,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,严格遵循《麻醉专业医疗质量控制指标（2022版）》标准，提供完善的麻醉质控指标功能；质控数据可通过院内业务系统自动抓取，上线前可结合医院实际运营情况，灵活调整数
1422,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,具备质控指标展示及数据占比分析功能，支持查看各质控指标数据占比详情，可对占比准确性进行核对校验，为管理者全面、详细掌握麻醉质控情况提供数据支撑。 +------
1423,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,单个麻醉质控指标可通过可视化图形直观展示数据占比，支持穿透查看指标详细信息；详细信息按分子、分母清晰区分，且支持导出为EXCEL表格，方便管理者进行数据统计、分
1424,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,重点展示每日首台量、首台手术患者所属科室、准点开台数量、准点开台率、延迟开台数量、延迟开台量；其中首台量、准点开台数量、延迟开台数量可展示取值明细。 +----
1425,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,重点展示手术台数、总计手术时长、总计接台时长、入室时间、平均接台时长；其中手术台数可展示取值明细。 +-----------------------------
1426,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,取消手术涵盖手术申请、手术排程、入室前、手术过程中四个阶段，重点统计各阶段取消手术数量，并可展示每个条目的取值明细。 +--------------------
1427,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,重点展示开始日期与结束日期不在同一自然日的各类手术数量，包含取值明细。 +-------------------------------------------
1428,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,统计院内各类已开展手术数量（如择期手术、急诊手术、日间手术等），可展示各类手术数量的取值明细。 +-------------------------------
1429,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,当出现患者死亡时，获取患者ASA分级并建立对应关系，展示各ASA级别对应的死亡患者数量，可查询取值明细。 +--------------------------
1430,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,按照麻醉方式字典统计各类麻醉开展数量（如椎管内麻醉、全身麻醉、神经阻滞麻醉），可查询取值明细。 +-------------------------------
1431,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,"获取手术申请信息中麻醉方式为""局麻""的患者及所属科室，建立关联关系，展示院内各临床科室开展的局麻手术数量，包含取值明细。 +------------------"
1432,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,统计术中发生输血的血制品类型及对应总量，包含各项血制品使用的取值明细。 +-------------------------------------------
1433,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,"统计术中输注""自体血""的情况，按输注量分别统计输注人数，包含输注人的详细信息。 +---------------------------------------"
1434,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,重点统计输血患者数、输注自体血患者数量、非自体血患者数量，可查看各项数据的取值明细。 +------------------------------------
1435,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,"获取""出量""中含有""血量""的患者数量，并按出血量（如400ml以下、400-1000ml）分别统计患者数量，可查看各项数据的取值明细。 +-----------"
1436,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,统计手术患者年龄分布，计算各年龄段患者数量及性别，可查看各项数据的取值明细。 +----------------------------------------
1437,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,统计每日镇痛泵使用情况，包括每日新增数量、拆泵数量、使用量，可查看各项数据的取值明细。 +-----------------------------------
1439,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,统计指定时间段内开展的手术及对应手术级别，手术名称以ICD-9字典为标准，手术级别以标准版提供的手术名称对应级别为准，可查看各项数据的取值明细。 +------
1440,D2,D2 真欠账——需排期评估,部分响应,数据治理与报表指标,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,"数据来源为麻醉记录单中""麻醉质量评估单""选取的""麻醉效果""指标，供管理者查询指定时间段内""麻醉效果""数据及取值明细。 +--------------------"
1441,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,"数据来源为麻醉记录单中""非计划再次手术""信息，或对接院内手术申请中标记的非计划再次手术数据，供管理者查询指定时间段内相关数据及取值明细。 +----------"
1442,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,"数据来源为""重返手术室修改麻醉记录单""的操作数据，供管理者查询指定时间段内相关数据及取值明细。 +-------------------------------"
1444,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,统计指定时间段内开具的毒麻药品、药品信息、开具医生等详细信息。 +-----------------------------------------------
1445,D2,D2 真欠账——需排期评估,部分响应,药事与药房,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,统计指定时间段内开具的肌松药、药品信息、开具医生等详细信息。 +------------------------------------------------
1446,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,统计指定时间段内计划、非计划转入ICU，以及计划、非计划转入苏醒室的数据，包含取值明细。 +----------------------------------
1447,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,统计指定时间段内计划、非计划手术室内插管、苏醒室内插管、再次插管、拔管、带管出室的患者数据，包含取值明细。 +-------------------------
1448,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,统计指定时间段内有创操作（如动脉穿刺置管、颈外静脉穿刺置管等）的数据，包含取值明细。 +------------------------------------
1449,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,"统计指定时间段内""抢救""患者的数据，包含取值明细。 +-----------------------------------------------------"
1735,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持平台UI与基础参数管理，实现菜单架构、Logo及门户页面的个性化设置。 +-----------------------------------------
2012,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,按科室检索、按护理级别检索、是否转科等多种条件检索。 +----------------------------------------------------
2013,D2,D2 真欠账——需排期评估,部分响应,其他,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,能够浏览科室全部病人和当前医生主管的病人。 +---------------------------------------------------------
2015,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,医生通过病历管控浏览当前病人的所有病历。能够按患者姓名、床位号、住院号等进行病历查找，能够浏览病历详情。支持部分病理在手机端进行编辑、修改。 +--------
2016,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持病历质控，针对病历列表可选解锁，即可以选择某一些批量，或者单个解锁。 +------------------------------------------
2017,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持权限控制，只有在病历质控后台授权了的用户才能操作解锁。 +-------------------------------------------------
2021,D2,D2 真欠账——需排期评估,部分响应,护理与病历文书,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,支持编辑住院患者完整的病案首页信息。 +------------------------------------------------------------
2028,D2,D2 真欠账——需排期评估,部分响应,门急诊与住院业务,按主题成版排期；排期前先确认该条是否值得为评标而建,说明列为「本条所述…未提供」（整条缺）,是,能够按床号、病人姓名、医嘱内容进行医嘱查找。 +--------------------------------------------------------
