序号,实质性★,重要▲,参数摘要,响应结论,响应说明
1822,,,支持对接收的申请单进行备血操作，和对已经备血的申请单进行状态跟踪和查询管理。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1823,,,支持复核患者的血型，通过对患者进行抽血检验，将血型检验的结果进行复核（急诊用血可跳过此步），自动记录血液复检费用。 +---------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1824,,,支持交叉配血单、发血单打印功能。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1825,,,支持临床发血，对完成交叉配血的申请单进行发血操作。打印发血报告，打印患者标签。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1826,,,支持输血评价，对输血完成的病人进行输血评价，根据实际详情填写输血评价单，打印输血评价单，根据添加查询输血评价信息等。 +--------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1827,,,支持不良处置，用于在患者输血过程中产生不良反应时采取的处置措施，并打印不良反应处置单。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1828,,,"功能概述：描述标本管理主要服务对象为护士,医生在开完输血申请单后,护士打印血液条码，并进行双人采集血液标本。并记录采集的血液信息，送检血液信息，实现流程规范化。 +----------------------------------------------------------------------------------------------------------------------",正偏离/无偏离,平台已实现（详见对应功能模块）
1829,,,支持标本采集全流程管理，具备条码打印、标本双人核对、采集确认等功能。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1830,,,支持标本运输，标本交接管理功能。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1831,,,支持标本接收，标本送达输血科后进行接收。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1832,,,"功能概述：描述输血管理模块的主要服务对象为护士,在输血科完成发血后通知护士取血,护士打印取血单并完成血液复核后进行血液输注,在输注过程中记录输注信息完成输血,主要包括打印取血单,血液核收,血液输注、不良反应等业务。 +-------------------------------------------------------------------------------------------",正偏离/无偏离,平台已实现（详见对应功能模块）
1833,,,支持发送取血通知给临床医生，护士打印取血单，凭取血单至输血科取血。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1834,,,支持血液核收，护士取回血制品到科室后，需要对血袋进行三查六对，确定血袋无误后才能进行输血准备。 +-------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1835,,,支持血液输注，输血前护士双人再对血袋进行检查，确定没有问题可以开始输血。输血前需要做冲管测试，记录输血患者的生命体征，确保患者输血安全。 +----------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1836,,,支持输血全过程管理，包括输血开始、输血过程巡视、输血结束，记录患者体征和输血反应信息。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1837,,,支持输血完成记录，记录输血完成时间，患者生命体征信息，满足输血规范。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1838,,,输注过程中如果发生不良反应，可在不良反应菜单中填写，并打印不良反应单。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1839,,,"功能概述：描述库存管理主要服务对象为输血科医生,主要是用于智能补库在库存不足时进行提示、血液订购、血液入库、库存查询、效期提醒、外院出库、血液输注完成后输血科进行血袋的回收和销毁等业务闭环管理。 +-----------------------------------------------------------------------------------------------------",正偏离/无偏离,平台已实现（详见对应功能模块）
1840,,,支持智能补库、根据当期出院人数，出院输血人数计算输血系数；根据当前在院人数，患者血型分布和血制品库存量，计算需要库存量。 +------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1841,,,支持与血站进行对接、支持采购订单、对接血站实现采购订单，订购血制品。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1842,,,支持血液库存查询，可根据血液成分、血液来源、血型、制备日期、有效期等进行查询。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1843,,,支持血液入库、血液入库登记，预入库血液复检登记。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1844,,,支持订单入库、根据血站出库订单，审核入库。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1845,,,支持手动入库、扫描血液条码手工入库。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1846,,,支持入库血型复查、血制品入库前可配置血型复查，和血制品信息核对，核对完成后入库。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1847,,,血袋若调出给其他单位、支持出库外院、血液出库外院登记。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1848,,,支持血液报废、血液报废详细信息登记。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1849,,,支持退回血站、记录血液退库信息，扣减库存。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1850,,,血液库存查询统计：血液出库查询、当前库存报表、出入库统计汇总报表，支持按血液类型、血型分类统计。 +------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1851,,,支持库存预警设置、血液库存预警值配置，建立库存预警机制，及时通知库存管理者血液制品的库存量低于安全库存量，以便及时采取措施，保证库存充足。 +---------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1852,,,库存量预警，设置血液预警阀值，查询得到库存量预警列表。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1853,,,支持血袋回收、记录血袋整个流转信息。血制品使用闭环管理。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1854,,,"功能概述：描述主要用于输血科进行统计,有关于个人工作量统计,医生用血统计,科室用血统计以及血型分布,血袋销毁统计,已发血申请单统计,配血统计,申请单统计,输血人次统计,输血不良反应统计、国家临床用血质量指标等各种统计报表。 +---------------------------------------------------------------------------------------",正偏离/无偏离,平台已实现（详见对应功能模块）
1855,,,支持国家临床用血质量指标：每千单位用血输血专业技术人员数、《临床输血申请单》合格率、受血者标本血型复查率、输血相容性检测项目室内质控率、输血相容性检测室间质评项目参加率、输血相容性检测室间质评项目合格率、输血人次不良反应上报例数。 +-----------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1856,,,临床用血统计分析：月度、季度、年度不同成分占比图；月度、季度、年度不同科室用血量比较图、不同成分用量比较图；不同年度月度、季度、年度全院用血总量趋势图、对比图；不同成分用量趋势图、不同科室用量趋势图；不同病种占总用血量比例图；出院患者人均用血量。 +---------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1857,★,,系统支持与中心血站、HIS、LIS、集成平台等开放接口对接。 +-------------------------------+----------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1858,,,支持向多科室同时开具会诊申请信息。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1859,,,支持患者病历信息共享，支持导入检查、检验、病历等信息到会诊申请内容。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1860,,,支持会申请单时效控制。 +----------------------------------------------------------------------------+,待复核,初评未匹配，须项目组逐条人工确认
1861,,,支持会诊消息推送，基于消息组件生成任务消息，发送给参与各方。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1862,,,支持根据疾病严重程度配置各级别会诊医生，设置会诊申请优先级。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1863,,,支持抗菌药物院内会诊审批流程。 +----------------------------------------------------------------------------+ 接收会诊 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1864,,,支持会诊接收，会诊接受医生才能对患者进行会诊相关医疗行为。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1865,,,支持会诊申请医生确认会诊到达。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1866,,,支持按时间、类型、病人状态、申请会诊科室等进行会诊信息的检索。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1867,,,支持会诊医生对会诊病人进行医嘱管理。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1868,,,支持会诊申请单控制会诊医师是否可下达医嘱。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1869,,,支持会诊医生查看患者的病历信息。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1870,,,支持会诊医生进行会诊结论的录入。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1871,,,支持会诊医生到达时间记录。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1872,,,具备会诊模板导入功能。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1873,,,支持会诊评价。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1874,,,支持会诊全流程闭环管理。 +----------------------------------------------------------------------------+ 会诊计费 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1875,,,支持会诊是否计费控制。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1876,,,支持根据会诊医嘱、科室和会诊医生的级别、执行会诊医生级别自动计费。 +----------------------------------------------------------------------------+ 会诊统计 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1877,,,科室会诊情况汇总统计。 +----------------------------------------------------------------------------+,正偏离/无偏离,平台已实现（详见对应功能模块）
1878,★,,科室会诊情况明细统计。 +----------------------------------------------------------------------------+ +-------------------------------+----------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1879,,,业务相关开单项目、开单类型、客户类型、收费组合、执行科室等均支持自行维护配置；亦可对接其余相关业务支持平台（如HIS、lis、pacs、hrp等）获取需用到的基础数据信息。 +----------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1880,,,套餐维护可将同类项目均维护至一个套餐，项目及套餐均支持单选折扣维护；项目开单时系统根据客户所提供相关信息自动过滤掉不符情况的项目，避免开单错误；开单时支持单项或多项赠送（不计费）。 +------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1881,,,根据客户实际体检意图及体检情况，系统支持体检类型与报告模板、单据凭证等一对多关联维护，支持批量打印。 +----------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1882,,,检查子项支持失真校验（提供强制和非强制两张模式可配置）维护。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1883,,,科室小结、项目小结、均支持默认值、默认项设置；支持自动审核；支持自动异常。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1884,,,项目结果支持模板维护及多种录入维护（直接勾选、勾选后修改确认等）；项目结果可配置是否使用模版，对应模版可关联总检结论词。 +------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1885,,,支持灵活配置操作员权限，可根据不同级别或角色配置一类或多累操作组权限。同时提供系统各项业务操作的细化权限配置（分总检权限、保存审核权限、折扣权限等）。 +---------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1886,,,开单可带出项目相关耗材并计费，可配置是否单独计费；可对接院内HRP系统。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1887,,,可对在检客户进行医师分流总检，缓解总检医师工作压力；支持配置医师时间段最大检量。提供工作量统计。 +------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1888,,,可根据实际情况对自定义报表进行配置使用。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1889,,,系统具有电子体检卡的管理功能，可以创建体检卡、分发体检卡、回收体检卡等功能。个人可以购买体检卡；团体体检，每个人按固定的金额来预约体检时，系统能给每个人按预定的金额发放电子体检卡，根据单位是否已经付费，确定体检卡是否有期限，是否需要回收。 +-------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1890,,,系统支持对相关结论词进行匹配规则维护（根据项目检查检验结果或异常标识（如偏高、偏低、阳性、弱阳等）进行关联），系统在总检时会根据相关维护规则带出对应结论词，同时根据结论词类型及重要程度进行合并及去重。 +--------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1891,,,检查项目支持多部位合并或拆分维护；检验项目支持使用合并规则及容器类型、检验类型等合并或拆分维护。 +------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1892,,,提供VIP管理功能，可自行配置对应VIP级别（设置历史体检金额，当超过某档次时也可设置对应折扣），在登记时系统自动计算并识别，同时可在系统内及引导单上进行相应的标识体现。支持手动调整级别。 +--------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1893,,,支持维护体检定向推送院内其他科室就诊功能。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1894,,,支持维护在修改客户相关记录时原因类型功能。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1895,,,支持单位结算方式维护功能。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1896,,,支持在线选项（可配置仅使用组合套餐或体检单项或自选搭配），支持对接院内公众平台。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1897,,,在客户选项时可根据客户实际情况进行相关判断及提示。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1898,,,可配置客户完成预约后是否直接缴费或需审批确认；支持线上项目及套餐折扣或定价。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1899,,,支持在移动端浏览院内历史检查、检验、体检报告，支持PDF下载功能。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1900,,,支持通过读取客户各类证件（身份证、其他合法证件、电子健康卡、医保卡等）录入客户基本信息；当客户存在历史记录时，可快速调用基本信息。 +-------------------------------------------------------------------------------------------------------------------------------------,外部条件,需医保局/省平台等外部环境开通后联调
1901,,,支持通过各类证件读卡器提取信息后，关联院内已有患者主档，并可配置是否可修改，避免录入错误。 +---------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1902,,,支持现场拍照及相关录入设备调用。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1903,,,可根据参数配置是否允许替检、可增加替检标识、支持录入替检人相关信息。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1904,,,支持引导单、条码一键打印（引导单、底单、各类凭证、检查表等）；支持单项补丁、重打，并记录有相关打印记录。 +--------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1905,,,系统根据体检类型、项目、套餐等维护情况，支持各类单据一键打印（检查底单、各类凭证、检查表等）；支持单项补丁、重打，并记录有相关打印记录。 +----------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1906,,,支持多屏显示，便于客户确认自己的相关基本信息；同时方便客户问卷调查。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1907,,,登记开单处支持单项或多项赠送（取消计费）功能，同时保留相关记录，可供查询。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1908,,,系统提供折扣比、折扣金额（抹零）、上浮金额、实收定价等多种折扣模式。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1909,,,操作员可在登记工作站中查看客户历次总检记录及各项体检结果（根据身份证唯一关联），便于向客户推荐项目或套餐，满足客户体检意图。 +----------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1910,,,根据患者证件号为唯一主索引，在登记工作站中醒目显示该客户来源体检次数及最近一次检查日期；如该次记录为复检，会展示上次体检号及复检项目、原因。 +--------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1911,,,可通过复制功能将其他同类型或同意图客户的项目及套餐内容复制至当前客户进行快速开单。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1912,,,提供排期管理功能，支持批量生成检量及时间班次，便于人流管控。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1913,,,在名单导入时，可根据在团体分组上的相关设置（适用婚姻、适用性别、年龄段）进行快速自动分组。 +---------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1914,,,可实时查看各团体单位当前人员到检情况及所属团体各人员当前体检进度（是否签到、各项是否已检查、是否已报告、是否已领取等）。 +------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1915,,,提供团体及分组复制功能，可复制历史记录进行快速创建团体分组。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1916,,,分组设置时可设置当前分组是否记账、记账是否限额；可设置固定上浮金额等；在前台开单时根据实际项目及套餐提示前台该客户当前费用状况、是否需要再自行缴费。 +----------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1917,,,提供团体结算锁定功能，在团体结算完毕或到期后，可配置是否可再进行人员新增及体检流程。 +------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1918,,,提供多种团体报告模板，可根据实际情况选择使用。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1919,,,提供团体锁定功能，在团体结算完毕或到期后，无法再进行人员新增及体检流程，仅可查看。便于数据统计分析。 +----------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1920,,,提供多层多流程折扣审批功能。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1921,,,可根据参数设置开单人员在开单时是否强制限制。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1922,,,可配置审批时效，到时效未审批系统自动清理（后台数据保留）。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1923,,,体检收费。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1924,,,体检计费支持多种可选模式（折扣、赠送、上浮、记账等）。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1925,,,与HIS收费子系统无缝对接，可对接电子发票。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1926,,,发票细项提供多种模式可选（体检费模式、明细模式、金额\*数量模式等）。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1927,,,支持自定义类型维护，根据扫码记录生成各类图标，提供后期工作统计数据支持。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1928,,,可对接院内短信平台，扫码时可根据类型发送对应维护的短信模版（报告领取、报告已出可在线查询等通知）。 +-----------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1929,,,标本离科。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1930,,,通过扫描条码记录该标本已收集并离科，提供查询功能。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1931,,,提供外送标本记录功能，通过扫描条码记录相关信息，同时支持手动录入相关条码信息，方便后期统计查询。 +------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1932,,,具备病理相关内容录入操作界面，可供对接病理系统使用。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1933,,,各科室结论通过科室所属项目的检查、检验结果自动提取异常信息（也可通过参数设置带出科内全部检查结果）；同时支持手动修改。 +-------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1934,,,可根据权限配置医生是否可查看或修改其他科室检查结果；同时提供同科历史检查记录查看功能。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1935,,,提供体检路径功能，该功能可进行个人信息修改、项目变更、弃检登记等，方便体检中心在使用系统时进行集中操作；同时可查看客户所处环节及各环节情况。 +--------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1936,,,医生在分检时发现重大问题时可进行手动异常标记，系统会通知具有相关角色权限的操作员；同时提供报表查看该类信息。 +------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1937,,,可通过参数设置带出科内全部检查结果或金显示异常信息。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1938,,,可配置项目是否进入到最终结果显示中。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1939,,,支持弃检、批量弃检、到期提醒等。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1940,,,如前台录入了替检相关信息，分检处也会醒目显示。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1941,,,根据参数配置，项目不在指定范围内自动标识为异常。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1942,,,根据参数配置，修改项目结果时是否自动记录为异常。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1943,,,可根据参数配置项目进行分项单独小结或多项汇总合并小结。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1944,,,根据结论词维护的相关匹配规则对应本次体检结果，自动带出相关结论词及建议。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1945,,,系统根据维护情况及重要程度生成排序，总检医师也可手动调整。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1946,,,总检医师可查看体检者在院历次检查检验体检情况，便于本次结论下达。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1947,,,总检医师可查看本次及历史各检查检验原始报告。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1948,,,在最终体检报告中，可根据近三次体检结果，展示对比汇总。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1949,,,在进入总检锁定后，其余业务系统无法再进行报告结果修改，需修改时会提示先通知总检医师取消锁定回到分检状态后才可修改，形成闭环管理。 +--------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1950,,,提供总检报告三级质控功能，即总检保存、初审、总审；总检最高权限具驳回至上一级的功能，可填写驳回原因。驳回原因可追溯检索。 +------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1951,,,系统提供初始结论知识库，后期也可自行添加丰富。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1952,,,系统根据科室顺序生成结论排序，总检医师也可手动调整。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1953,,,根据操作员使用情况提供记忆功能，操作员常用结论词排于前方。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
1954,,,可配置总检超期时间，系统自动通知提醒相关责任人。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
1955,,,可配置分检超期（指引单未回收）时间，系统自动通知提醒相关责任人。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
