序号,实质性★,重要▲,参数摘要,响应结论,响应说明
2756,,,系统支持与阳采平台进行线上直连，能够直接获取平台上的配送信息，并以此为据，自动生成对应的采购入库单。 +----------------------------------------------------------------------------------------------------------------------------------------------------,外部条件,平台提供药品入库单管理及集成平台适配器接入框架。与阳采平台线上直连获取配送信息并自动生成入库单，须依据省级集中采购平台的接口规范、证书与前置机接入授权，由医院与采购平台方提供，平台在实施期配合完成对接。
2757,,,"在药品入库操作过程中，系统支持同时采用多种计量单位（例如""盒""和""板""、""瓶""和""粒""）进行数量的录入与换算。 +-----------------------------------------------------------------------------------------------------------------------------------------------",部分响应,平台药库入库单当前按药品单一计量单位登记数量。本条所述“盒/板”“瓶/粒”等多计量单位录入与自动换算功能当前版本未提供，列入后续开发计划。
2758,,,系统提供了采购入库冲红的功能，用于处理已入库但需要退回的情况。通过此功能，可以对已经生成的采购入库单进行逆向操作，生成红字单据以冲销原入库记录。 +------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库入库单提供验收前拒收与库存盘点调整两项基础能力。本条所述对已入账采购入库单生成红字单据、冲销原入库记录并与原单勾稽的冲红功能当前版本未提供，列入后续开发计划。
2759,,,在创建入库单据时，系统提供了便捷的药品搜索功能。用户可以通过药品的拼音码、五笔码等助记码进行快速查找，同时也支持直接输入药品名称进行精确或模糊搜索。 +----------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库入库单开单时提供按药品名称的模糊搜索（远程联想、即输即查）。尚未提供：①按拼音码、五笔码等助记码检索；②按药品编码的精确检索。上述缺项列入后续开发计划。
2760,,,除了常规的采购入库，系统还支持其他类型的入库业务，例如因药厂赠送、医院自制等原因产生的入库操作。 +------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库入库单当前统一按采购入库登记，不区分入库类型。本条所述药厂赠送、医院自制等其他类型入库的分类登记与分类统计当前版本未提供，列入后续开发计划。
2761,,,系统支持对来自同一生产厂家的药品，按照不同的生产批号和有效期进行精细化的分批次入库管理。 +----------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库入库单按生产批号与有效期逐批登记，近效期预警按批次估算。尚未提供：①批次级在库量账（库存按药品汇总记账，出库不指定批次）；②按批次的结存与追溯查询。上述缺项列入后续开发计划。
2762,,,在药品入库和退库流程中，系统支持通过扫描药品追溯码的方式，将追溯信息录入并上传至相关监管平台。 +-------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库入库、退库单当前未提供药品追溯码扫码录入与追溯信息上传功能。院内扫码录入部分列入后续开发计划；向国家药品追溯监管平台上传部分，需待监管平台接口规范与接入资质具备后对接实施。
2763,,,采购入库环节支持定向出库功能。即在完成采购入库的同时，可以直接将这批药品指定出库给某个下级库房（如门诊药房），无需再进行一次独立的出库操作。 +--------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库当前为单一库存点记账，采购入库验收通过后直接计入库存。本条所述入库同时定向出库至下级库房（如门诊药房）的功能，依赖药库/药房两级库存模型，当前版本未提供，列入后续开发计划。
2764,,,系统支持使用PDA（移动数据终端）扫描随货同行单的编号或发票号码，对药品的外观、包装情况、数量信息进行质量验收的现场操作。 +-----------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台当前提供 PC 端药品入库验收功能（按入库单逐单验收入账）。本条所述 PDA 扫描随货同行单号/发票号检索，并对外观、包装、数量进行现场质量验收的移动端功能当前版本未提供，列入后续开发计划。
2765,,,在PDA端完成质量验收并确认通过后，系统即可自动触发后续流程，完成最终的采购入库操作。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台当前提供 PC 端入库验收通过即自动入账的流程。本条所述 PDA 端质量验收通过后自动触发采购入库的功能，依赖 PDA 验收功能，当前版本未提供，列入后续开发计划。
2766,,,系统提供了专门的财务验收功能，财务人员可以依据已经完成的采购入库单据进行核对与验收操作。 +----------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台 HRP 物资采购模块提供财务验收动作，可对已审批采购单据执行验收并登记发票号。尚未提供：①依据药品采购入库单逐条核对数量、金额、批次后验收的界面；②财务验收与药品入库单之间的数据勾稽。上述缺项列入后续开发计划。
2767,,,为了提高工作效率，系统支持筛选出同一家供货单位的全部待验收单据，进行集中批量验收。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台 HRP 物资采购模块当前提供逐单财务验收。本条所述按供货单位筛选全部待验收单据并集中批量验收的功能当前版本未提供，列入后续开发计划。
2768,,,在财务验收环节，如果发现发票信息有误或需要补充，系统允许操作人员在验收时直接对发票信息进行调整或补录。 +---------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台 HRP 物资采购模块财务验收时可录入发票号，验收后也可再次调整发票号。尚未提供：①发票金额、开票日期、税额、发票类型等完整发票信息的补录与调整；②药品采购入库单侧的发票信息登记与财务验收。上述缺项列入后续开发计划。
2769,,,系统提供了采购完成后的付款管理功能，支持对同一家供货商名下的所有应付单据进行集中查询与付款操作。 +------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,对应模块查询统计能力已实现，界面细节逐条比对
2770,,,在进行集中付款时，系统支持依据三种不同类型的单据进行筛选和处理，分别是采购入库单据、发票以及财务验收单。 +--------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台采购单据流程当前止于财务验收，未包含集中付款环节。本条所述按采购入库单、发票、财务验收单三种单据筛选并集中付款的功能当前版本未提供，列入后续开发计划。
2771,,,在付款方式上，系统提供了多种选择以满足不同情况：可以支付整张单据的全部金额；可以手动输入一个特定的支付金额；也可以将一笔付款金额分摊到一张单据的多个款项或不同单据的部分金额上。 +--------------------------------------------------------------------------------------------------------------,部分响应,平台当前未提供应付款与付款核销功能。本条所述整单付款、指定金额付款、一笔付款分摊至多张单据或多个款项的付款方式当前版本未提供，列入后续开发计划。
2772,,,系统提供丰富的账款查询与分析功能，包括查询已付款和未付款的单据明细，以及进行应付账款的账面分析，为资金管理提供数据支持。 +------------------------------------------------------------------------------------------------------------------------------------------,部分响应,对应模块查询统计能力已实现，界面细节逐条比对
2773,,,系统支持根据各药房提交的申领单进行出库处理。同时，如果申领单有误或需要撤回，也支持对已处理的申领单进行退回操作。 +----------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库当前为单一库存点记账，未建立药库/药房两级库存。本条所述按药房申领单出库及对已处理申领单退回的功能当前版本未提供，列入后续开发计划。
2774,,,系统提供了库存直接调拨出库的功能，可以将药品从药库直接调拨到指定的药房，无需经过申领流程。 +---------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台当前提供固定资产在科室间的调拨功能，药品库存为单一库存点记账。本条所述药库向指定药房的库存直接调拨出库功能当前版本未提供，列入后续开发计划。
2775,,,除了常规的药房申领出库，系统还支持其他类型的出库业务，例如药品报损、临床科室直接领用、以及盘点后产生的盘亏出库等。 +---------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库盘点确认后可按盘亏自动扣减库存并留出库流水，另提供库存调整功能。尚未提供：①药品报损出库单据与审批；②临床科室直接领用出库单据；③上述两类出库的分类统计。上述缺项列入后续开发计划。
2776,,,系统在自动扣减库存时，内置了多种出库策略，例如优先出库最早入库的药品（先进先出），或优先出库距离失效期最近的药品（近效期先出），以保证库存的良性周转。 +---------------------------------------------------------------------------------------------------------------------------,部分响应,平台发药扣减当前按药品库存总量记账，近效期预警按批次估算。本条所述先进先出、近效期先出等自动出库批次策略，依赖批次级在库量账，当前版本未提供，列入后续开发计划。
2777,,,除了系统自动扣减，也支持用户在出库时，根据实际需要手动选择从哪个具体批次的药品中进行出库。 +---------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台发药与出库当前按药品和数量扣减库存，不指定批次。本条所述出库时手动选择具体批次的功能，依赖批次级在库量账，当前版本未提供，列入后续开发计划。
2778,,,系统功能支持在不同医疗机构之间，或同一家医院的不同院区库房之间进行药品的调拨出库操作。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台当前按单一医疗机构、单一库存点部署与记账（多院区可各自独立部署）。本条所述跨医疗机构、跨院区库房间的药品调拨出库功能当前版本未提供，列入后续开发计划。
2779,,,系统支持两种基础的调价模式：针对零售价格的调整和针对进货价格的调整。同时，调价管理功能也涵盖了国家政策性调价和医院内部自主调价两种业务类型。 +--------------------------------------------------------------------------------------------------------------------------------,部分响应,平台提供诊疗收费项目零售价调价功能，调价须填写原因并留调价记录，可查询调价历史。尚未提供：①药品零售价的正式调价单（当前通过主数据批量导入更新价格）；②进货价调整；③国家政策性调价与院内自主调价的业务类型区分。上述缺项列入后续开发计划。
2780,,,药品价格的调整可以通过即时生效和定时生效两种方式来执行，以满足紧急调价或计划性调价的不同需求。 +-------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台当前调价为即时生效。本条所述定时生效（计划性调价）的执行方式当前版本未提供，列入后续开发计划。
2781,,,系统支持对特定的库存点（例如仅针对药库库存或仅针对药房库存）进行独立的调价。对于进销价格相同（零差价）的药品，系统支持在调整零售价时，自动同步调整其进货价格，保持价格一致。 +----------------------------------------------------------------------------------------------------------------,部分响应,平台当前药品价格为主数据上的单一零售价，库存为单一库存点记账。本条所述按药库/药房库存点独立调价，以及零差价药品调整零售价时同步进货价的功能当前版本未提供，列入后续开发计划。
2782,,,在多机构（如医院集团）的管理模式下，系统支持将同一个价格调整方案，同步应用到所有采用相同价格体系的机构中，确保价格政策的统一执行。 +-------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台当前按单一医疗机构维护一套价格体系。本条所述多机构（医院集团）模式下同一价格调整方案同步至多个机构的功能当前版本未提供，列入后续开发计划。
2783,,,系统提供了对药库库存进行全面盘点的功能，并支持按照药品分类、存放库位、剂型等不同维度来组织和进行盘点。 +---------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库盘点提供建单、实盘录入、账实差异确认调库、作废与盘点单查询的完整闭环。尚未提供：按药品分类、存放库位、剂型等维度批量圈定盘点范围（当前逐个搜索勾选药品建单，库位维度尚未建立）。上述缺项列入后续开发计划。
2784,,,盘点范围不仅限于当前有库存的药品，也支持将当前库存为零的药品以及当前处于禁用状态的药品纳入盘点清单，以保证库存账目的完整性。 +----------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库盘点建单时可将当前库存为零的药品纳入盘点清单。尚未提供：①将禁用状态药品纳入盘点清单；②大批量选药建单（当前药品选择器单次最多返回 20 条）。上述缺项列入后续开发计划。
2785,,,为了提高盘点效率，系统支持通过引入预设的盘点模板（包含特定药品列表）来快速生成盘点任务。 +----------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库盘点当前通过逐个勾选药品生成盘点单。本条所述预设盘点模板（含特定药品列表）一键生成盘点任务的功能当前版本未提供，列入后续开发计划。
2786,,,系统支持单人或多人协同进行盘点数据的录入工作，以适应不同规模的盘点任务。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库盘点实盘录入支持多名药剂人员同时对同一盘点单录入，不做单人独占限制。尚未提供：①逐条录入人留痕；②初盘/复盘双人核对；③分区分人的协同分工机制。上述缺项列入后续开发计划。
2787,,,"在录入盘点数据时，系统支持按不同的包装单位输入数量，例如可以直接输入""几盒几片""，系统会自动换算，减少人工计算可能产生的错误。 +---------------------------------------------------------------------------------------------------------------------------------------",部分响应,平台药库盘点实盘数当前按药品单一计量单位录入。本条所述“几盒几片”多包装单位录入与自动换算功能当前版本未提供，列入后续开发计划。
2788,,,在盘点录入过程中，允许操作人员对具体批次药品的账面数量进行调整。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库盘点单按药品记账，账面数取建单时刻的库存快照并作为确认调库的核对基准，不提供人为修改入口，以保证账实差异口径可追溯。本条所述按具体批次调整账面数量的功能，依赖批次级在库量账，当前版本未提供，列入后续开发计划。
2789,,,为了方便操作，系统支持在录入实盘数量时，直接复制当前的账面库存作为起点。盘点任务完成后，系统能够根据实盘与账面的差异，自动生成盘盈入库单和盘亏出库单。 +---------------------------------------------------------------------------------------------------------------------------,部分响应,平台药库盘点确认后按实盘与账面差异自动调整库存并留盘点流水。尚未提供：①录入实盘时一键复制账面库存作为起点；②自动生成独立的盘盈入库单与盘亏出库单单据。上述缺项列入后续开发计划。
2790,,,系统支持在库房月结统计时，自定义每月的结账日期。首次月结基于初始化建账日期，之后每个月的月结周期则从上一次月结的终止时间开始计算。 +-------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台当前提供收费班结与结账明细查询。本条所述库房月结、自定义结账日期、首次月结基于建账日期及月结周期滚动计算的功能当前版本未提供，列入后续开发计划。
2791,,,系统提供了取消月结的功能，但为确保数据连续性，取消操作必须从最后一个已月结的月份开始，逐月向前进行，不允许跨月取消。 +--------------------------------------------------------------------------------------------------------------------------------------------,部分响应,【二级证据评审建议，待项目组签字】日结报表+交款核对已备（/reports/daily）；自定义月结周期/取消月结为财务深化项
2792,,,系统需提供多维度的查询统计分析功能，例如能够查询各药库及全院的药品库存情况，查看实物账簿、财务月报表，进行采购与销售分析，以及查询失效药品、统计基本药物、特殊药品、抗生素等各类药品的消耗与库存情况。 +---------------------------------------------------------------------------------------------------,部分响应,平台提供全院药品库存与低库存查询、出入库流水（实物账簿）、失效药品预警、药品使用分析、抗菌药物使用强度分析及按月药品经费统计。尚未提供：①分药库库存查询（当前为全院单一库存）；②库存金额进销存财务月报表；③采购分析；④基本药物与特殊管理药品的分类消耗与库存统计。上述缺项列入后续开发计划。
2793,,,药品字典：此部分功能用于管理所有药品的基础档案信息，具体包括药品的通用名称、规格型号、生产厂家、供货单位信息、基本的包装单位、面向患者的发药单位，以及对特殊管理药品的分类，如毒麻药品、精神药品、贵重药品、医院自制制剂、进口药品等属性的详细设置与维护。 +-------------------------------------------------------------------------,部分响应,平台药品字典维护通用名、规格、计量单位、剂型、零售价、西药/中成药分类、抗菌药物分级、费用类别与自费标记，支持批量导入。尚未提供：①生产厂家、供货单位字段；②与包装单位分离的发药单位；③毒麻、精神、贵重、自制制剂、进口药品等特殊管理分类属性；④单条药品档案的新增/编辑页面（当前通过批量导入维护）。上述缺项列入后续开发计划。
2794,,,供应商信息管理：此模块专门用于管理与医院有业务往来的所有供应商的详细信息，包括但不限于供应商的名称、资质、联系方式。 +--------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,由 HRP 运营管理模块的供应商管理页面提供：维护供应商名称、联系人、联系电话、经营范围与启用状态，并登记供应商资质证照（证照类型、证号、附件、有效期），支持新增与查询。
2795,,,生产企业信息管理：此模块专门用于管理与医院有业务往来的所有生产企业的详细信息，包括但不限于生产企业的名称、资质、联系方式。 +-----------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台当前提供供应商档案与资质证照管理。本条所述独立的生产企业档案（名称、资质、联系方式）管理功能当前版本未提供，列入后续开发计划。
2796,★,,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,非参数行,文档转换产生的表格分隔残渣，不计入参数总数
2797,,,系统能够依据医师的职称信息，自动匹配并赋予相应的抗菌药物处方权限。 +------------------------------------------------------------------------------------------------------------------+ 抗菌药物分级管理 +---------------------------------------,部分响应,平台提供抗菌药物分级处方权维护，可按医师逐人设置处方权级别。本条所述依据医师职称自动匹配并赋予抗菌药物处方权的功能当前版本未提供，列入后续开发计划。
2798,,,当医师开具抗菌药物时，系统会根据其权限等级自动判断是否允许开具对应级别的药物。 +------------------------------------------------------------------------------------------------------------------+,正偏离/无偏离,由门诊医生站开立医嘱时自动执行：药品字典维护抗菌药物分级，医师开具限制级或特殊级抗菌药物时，系统自动比对其处方权级别，权限不足即拦截开单。
2799,,,若医师的处方权限不足以开具所选抗菌药物，系统将自动弹出提示信息，提醒其权限不足。 +------------------------------------------------------------------------------------------------------------------+,正偏离/无偏离,由门诊医生站提供：处方权不足时开单被拦截，系统即时弹出提示，明确告知所开药品的抗菌药物级别与医师当前处方权级别。
2800,,,不同科室的医师根据其岗位职责拥有不同的抗菌药物使用权限，若开具超出权限级别的药物，系统将自动触发审批流程。 +------------------------------------------------------------------------------------------------------------------+,部分响应,平台抗菌药物处方权按医师个人授予，越权开单时直接拦截。本条所述按科室岗位职责差异化配置抗菌药物权限，以及超权限开单自动触发审批流程的功能当前版本未提供，列入后续开发计划。
2801,,,在紧急医疗情况下，支持医师临时越级使用抗菌药物，并允许在24小时内补交审批材料完成审核流程。 +------------------------------------------------------------------------------------------------------------------+,部分响应,平台抗菌药物越权开单当前为直接拦截。本条所述紧急情况下临时越级用药并在 24 小时内补交审批材料完成审核的流程当前版本未提供，列入后续开发计划。
2802,,,各分级审批流程已整合至临床业务系统，系统可实时提醒相关医师或审批人员及时处理待审批的特殊用药申请。 +------------------------------------------------------------------------------------------------------------------+,部分响应,平台当前提供抗菌药物分级处方权矩阵维护与开单自动判权。本条所述整合至临床业务系统的特殊用药分级审批流程及待审批实时提醒功能当前版本未提供，列入后续开发计划。
2803,,,抗菌药物用药目的管理。 +------------------------------------------------------------------------------------------------------------------+,部分响应,本条所述抗菌药物用药目的字典与管理功能当前版本未提供，列入后续开发计划。
2804,,,医师在下达抗菌药物医嘱时，系统将自动弹出用药目的填写页面，要求医师明确选择抗菌药物的使用原因。 +------------------------------------------------------------------------------------------------------------------+,部分响应,平台门诊医生站开具抗菌药物时执行分级处方权自动判权。本条所述下达抗菌药物医嘱时自动弹出用药目的填写页并要求医师选择用药原因的功能当前版本未提供，列入后续开发计划。
2805,★,,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,非参数行,文档转换产生的表格分隔残渣，不计入参数总数
2806,,,支持危急值类型的新增、修改、删除。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台危急值当前按检验、检查两个固定来源分类。本条所述危急值类型字典的新增、修改、删除功能当前版本未提供，列入后续开发计划。
2807,,,支持对各类危急值项目进行配置与管理。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,由检验参考区间维护页面提供：按检验项目、性别、年龄段配置正常参考区间及危急值上下限，支持新增、编辑、删除，检验结果判读时自动引用。
2808,,,支持项目的同步。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台检验参考区间与危急值阈值当前由人工逐条维护。本条所述从检验系统或收费项目字典同步项目的功能当前版本未提供，列入后续开发计划。
2809,,,支持危急值确认消息字典的维护。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台危急值确认时由医师手工录入处置措施文本。本条所述危急值确认消息字典的维护功能当前版本未提供，列入后续开发计划。
2810,,,支持消息处理意见的新增、编辑与删除。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台危急值处理意见当前以自由文本记录。本条所述预设处理意见的新增、编辑与删除功能当前版本未提供，列入后续开发计划。
2811,,,具备危急值执行前置条件的维护功能。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台危急值闭环当前提供确认时限（分钟）参数配置。本条所述危急值执行前置条件的维护功能当前版本未提供，列入后续开发计划。
2812,,,支持患者信息与疾病名称的配置及维护。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台提供患者主索引登记与维护，以及 ICD-10 疾病名称字典查询。尚未提供：①疾病名称字典的新增、修改、删除维护；②危急值项目与患者信息、疾病名称的关联配置。上述缺项列入后续开发计划。
2813,,,支持危急值项目严重程度的维护，并可根据不同危险等级配置对应的处理方案。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台危急值当前按项目配置危急阈值，不分严重程度。本条所述危急值项目严重程度维护及按危险等级配置对应处理方案的功能当前版本未提供，列入后续开发计划。
2814,,,支持对危急值提醒方式进行配置管理，可根据危急值等级、项目类型等维度，支持提醒形式（如颜色标识、弹窗提示、声音告警等）。 +-------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台危急值当前在待处理清单中以固定样式高亮显示。本条所述按危急值等级、项目类型配置颜色标识、弹窗提示、声音告警等提醒方式的功能当前版本未提供，列入后续开发计划。
2815,,,支持按科室、病区查询住院患者危急值的医生与护士处理情况，可查看处理结果及提醒记录。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台危急值闭环当前覆盖门诊患者，由开单医师确认处置。本条所述住院患者危急值、按科室与病区查询以及医生与护士分别处理情况的查询功能当前版本未提供，列入后续开发计划。
2816,,,支持患者姓名或就诊号、条码号、申请单号等关键字进行危急值信息的查询。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台危急值当前提供按处理状态的列表查询。本条所述按患者姓名、就诊号、条码号、申请单号等关键字检索危急值信息的功能当前版本未提供，列入后续开发计划。
2817,,,支持危急值信息记录的导出。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台危急值当前提供在线列表查询。本条所述危急值信息记录导出功能当前版本未提供，列入后续开发计划。
2818,,,当发生危急值时，支持通过院内消息系统通知，系统还支持通过移动端（钉钉或微信）或手机短信对接，实现开嘱或主管医生可接收危急值消息，保证危急值通知的及时性。短信通知内容可根据医院需求自定义，并支持设置短信内容通知患者。 +-------------------------------------------------------------------------------------------,部分响应,平台危急值发生时自动生成院内通知，指定开单医师并记录通知时刻与确认时限，医师在门诊医生站待确认清单中接收处理。尚未提供：①移动端（钉钉/微信）与手机短信通知通道（短信网关与即时通讯平台由外部配套提供，平台侧接入待开发）；②短信内容自定义；③向患者发送短信通知。上述缺项列入后续开发计划。
2819,,,支持危急值消息需医生护士对消息回复后方可取消提醒。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台危急值须由开单医师本人填写处置措施后方可确认，确认后从待处理清单移除并留痕。尚未提供：护士岗位的独立确认环节及医护双岗回复流程。上述缺项列入后续开发计划。
2820,,,具备对危急值消息进行查看和处理的功能。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,由危急值管理功能提供：全院危急值监控列表可查看患者、内容、状态与时间；医师待确认清单可逐条填写处置措施并确认处理，处理结果留痕。
2821,,,支持按医生或患者进行危急值消息的检索。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台危急值当前提供全院列表（按状态）与当前登录医师本人的待确认清单。本条所述按指定医生或患者检索危急值消息的功能当前版本未提供，列入后续开发计划。
2822,,,支持对危急值消息进行处理意见的记录。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,由危急值管理功能提供：医师确认危急值时必须填写处置措施，系统记录处理意见、处理人与处理时刻，可追溯查询。
2823,,,当发生危急值时，按照相关规定护士和医生需针对危急值消息分别进行确认和处理，医生处理即认为该危急值已处理。在电脑端中，系统支持通过对应工作站的消息弹窗定位患者并跳转至处理界面或直接通过危急值处理模块界面进行相应处理；在移动端中，系统支持直接对消息进行处理。 +-----------------------------------------------------------------------,部分响应,平台提供独立的危急值处理模块界面，医师可直接确认并填写处置。尚未提供：①工作站消息弹窗定位患者并跳转处理界面（当前首页仅显示待处理条数）；②移动端直接处理；③护士独立确认环节。上述缺项列入后续开发计划。
2824,,,全院危急值统计。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台首页与数据概览提供全院未处理危急值条数统计（门诊口径）。尚未提供：①按时间段、科室、项目、来源的汇总统计及及时率、处理时长等统计口径；②住院危急值口径。上述缺项列入后续开发计划。
2825,,,危急值处置监控。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,正偏离/无偏离,由危急值管理功能提供：按可配置的确认时限自动筛出超期未确认危急值形成监控列表，显示应通知医师与患者；处置措施、处理人、处理时刻全程留痕可追溯。
2826,,,全院危急值查询。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台提供全院危急值查询列表（患者号、姓名、内容、时间、状态）。尚未提供：①住院患者危急值（当前限门诊）；②分页查询（当前显示最近 50 条）；③按条件检索。上述缺项列入后续开发计划。
2827,,,危急值指标统计。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台当前提供未处理危急值条数统计。本条所述及时确认率、平均确认时长、超期率及按项目/科室分布等危急值指标统计功能当前版本未提供，列入后续开发计划。
2828,,,提供全院危急值的统计查询，支持查询某科室某段时间内医生的危急值处理情况，用于质控等管理部门针对科室、医生、患者整体危急值流程的追溯和精确统计。 +-------------------------------------------------------------------------------------------------------------------------------,部分响应,平台当前提供全院危急值列表与超期监控。本条所述按科室、时间段、医生维度统计危急值处理情况的质控追溯查询功能当前版本未提供，列入后续开发计划。
2829,★,,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,非参数行,文档转换产生的表格分隔残渣，不计入参数总数
2830,,,能够通过护理管理系统中的指标维护功能展示科室病区、护理、特殊检查等分类的指标呈现，呈现内容包含指标名称、患者数、床号和频率，能够根据不同护理级别对床号颜色进行区分查看。 +------------------------------------------------------------------------------------------------------------------,部分响应,平台护理白板提供在院患者一览（病区、床号、护理级别、过敏史、待执行医嘱数、护理文书数）。本条所述护理指标维护、按科室病区/护理/特殊检查分类的指标呈现及按护理级别区分床号颜色的功能当前版本未提供，列入后续开发计划。
2831,,,能够通过触屏切换查看科室护理级别比例、护理动态比例、特殊检查比例、患者年龄人数分布、患者出入院人次变化趋势、床位使用率、手术台次、床护比、护患比等指标的查看。 +-----------------------------------------------------------------------------------------------------------------------,部分响应,平台在病案统计中提供床位使用率与手术台次统计。本条所述触屏切换的病区指标看板，及护理级别比例、护理动态比例、特殊检查比例、年龄分布、出入院人次趋势、床护比、护患比等指标展示当前版本未提供，列入后续开发计划。
2832,,,能够进行科室床位信息一览显示。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+,部分响应,平台提供按病区的全部床位数据（含空床与占床患者），护理白板按病区、床号列出在院床位。尚未提供：独立的科室床位信息一览页面（空床当前仅在收治与转床的床位选择中可见）。上述缺项列入后续开发计划。
2833,,,能够按床位背景色代表不同的护理等级进行区分展示。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台护理白板显示各床护理级别并支持调级。本条所述按护理等级以床位背景色区分展示的功能当前版本未提供，列入后续开发计划。
2834,,,能够显示床位患者详情，能够按条件筛选床位（包含在床、特殊护理、一级护理、二级护理、三级护理、病危、病重、今日手术）。 +--------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台护理白板列出在院患者床位信息。本条所述按在床、特殊护理、一/二/三级护理、病危、病重、今日手术等条件筛选床位的功能（含病危、病重标志登记）当前版本未提供，列入后续开发计划。
2835,,,点击床位患者能够查看患者的基本信息。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+ 护理,部分响应,平台护理白板行内直接显示患者姓名、性别、过敏史、科室、住院号等基本信息，并可跳转护理文书。尚未提供：点击床位患者弹出或跳转患者基本信息视图。上述缺项列入后续开发计划。
2836,,,能够查看医嘱计划内容，能够按照医嘱项目排序显示未出院病人医嘱内容，能够按条件筛选护理内容。 +---------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,平台住院医生站提供按患者的医嘱列表（类型、项目、用法、剂量、状态、长期/临时），护士站提供在院患者待执行医嘱队列。尚未提供：①按医嘱项目排序；②按条件筛选护理内容。上述缺项列入后续开发计划。
2837,,,能够通过医嘱类型、医嘱状态进行检索查看。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+ ,部分响应,平台住院医生站与护士站医嘱列表显示医嘱类型与状态。本条所述按医嘱类型、医嘱状态检索查看的功能当前版本未提供，列入后续开发计划。
